PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_BKR,BULAN
SULAWESI BARAT,MAMUJU,TOMMO,RANTEMARIO,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,SALUDENGEN,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,SANDANA,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,TAMEJARRA,1,JANUARI
SULAWESI BARAT,MAMUJU,TOMMO,TAMEMONGGA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,BENGGAULU,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KADAILA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAMBUNONG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,1,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,1,JANUARI
