PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUNYA BADUTA,PUNYA BALITA,PUS,PUS HAMIL,AIR MINUM,TEMPAT BUANG AIR,TERLALU MUDA,TERLALU TUA,TERLALU DEKAT,TERLALU BANYAK,KRS
SULAWESI BARAT,MAMASA,BAMBANG,RANTELEMO,15,15,64,3,0,7,1,11,0,10,74
SULAWESI BARAT,MAMASA,BAMBANG,RANTETARIMA,7,4,40,0,0,0,0,3,0,16,40
SULAWESI BARAT,MAMASA,BAMBANG,SALUASSING,32,39,156,6,0,1,0,24,3,59,130
SULAWESI BARAT,MAMASA,BAMBANG,SALUBULO,19,28,86,4,0,0,0,20,1,20,71
SULAWESI BARAT,MAMASA,BAMBANG,SALUDENGEN,16,16,58,1,6,10,0,15,0,17,43
SULAWESI BARAT,MAMASA,BAMBANG,SALUKADI,26,21,112,4,0,1,2,17,0,21,104
SULAWESI BARAT,MAMASA,BAMBANG,SALUKEPOPOK,19,48,151,4,0,3,3,28,0,38,127
SULAWESI BARAT,MAMASA,BAMBANG,SALURURU,9,10,41,3,0,0,0,3,0,10,41
SULAWESI BARAT,MAMASA,BAMBANG,SALUTABANG,10,7,43,2,0,7,0,7,1,14,42
SULAWESI BARAT,MAMASA,BAMBANG,SIKAMASE,10,22,66,11,3,13,1,10,5,19,58
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,7,26,79,1,0,0,2,7,1,5,72
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI,31,37,101,8,0,20,1,16,8,40,83
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI BARAT,21,24,82,1,1,7,0,11,0,20,65
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,ARALLE TIMUR,33,48,122,12,123,47,4,12,1,36,4
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,BUNTUMALANGKA,33,32,158,8,1,7,3,29,0,48,149
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KABAE,19,20,103,6,8,30,2,25,1,20,94
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KEBANGA,29,36,87,11,15,33,2,12,8,40,67
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,PENATANGAN,56,66,161,18,8,68,6,32,13,79,143
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,RANTEBERAN,39,55,153,6,3,75,0,29,1,66,144
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALURINDU,10,30,73,7,2,5,0,13,2,31,69
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN,12,10,56,1,27,3,1,10,0,13,26
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN BARAT,13,21,90,1,34,8,0,13,3,21,54
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN TIMUR,17,16,74,3,4,3,1,12,1,14,71
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,TAORA,15,16,70,2,0,0,0,10,0,19,66
SULAWESI BARAT,MAMASA,MAMASA,BOMBONG LAMBE,28,44,233,3,1,2,3,60,10,71,158
SULAWESI BARAT,MAMASA,MAMASA,BUBUN BATU,12,27,160,3,3,30,2,44,2,42,107
SULAWESI BARAT,MAMASA,MAMASA,BUNTU BUDA,63,82,404,12,0,0,6,94,6,117,341
SULAWESI BARAT,MAMASA,MAMASA,LAMBANAN,31,69,272,8,42,8,4,59,2,97,162
SULAWESI BARAT,MAMASA,MAMASA,LEMBANA SALULO,17,29,105,3,1,8,1,24,1,28,94
