NO,PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PA,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,KB MODERN,KB TRADISIONAL,BULAN
182,SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,100,41,19,0,30,1,0,6,2,99,1,JANUARI
183,SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,128,69,27,5,10,6,0,7,0,124,4,JANUARI
184,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,416,203,42,27,124,9,1,8,1,415,1,JANUARI
185,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,188,50,23,41,35,12,0,9,0,170,18,JANUARI
186,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,130,40,25,31,22,0,0,3,0,121,9,JANUARI
187,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,154,41,22,11,64,6,2,8,0,154,0,JANUARI
188,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,99,16,28,19,23,2,0,4,0,92,7,JANUARI
189,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,323,104,98,15,59,30,0,17,0,323,0,JANUARI
190,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,211,79,52,14,30,19,1,14,0,209,2,JANUARI
191,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,115,49,19,8,24,9,0,6,0,115,0,JANUARI
192,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,64,19,9,0,33,0,0,2,0,63,1,JANUARI
193,SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,128,24,22,25,37,10,0,8,1,127,1,JANUARI
194,SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,117,24,19,1,48,11,0,14,0,117,0,JANUARI
195,SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,93,29,5,0,51,4,0,4,0,93,0,JANUARI
196,SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,118,85,8,3,13,2,2,5,0,118,0,JANUARI
197,SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,225,160,45,0,3,7,0,8,0,223,2,JANUARI
198,SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,89,59,5,1,22,1,0,1,0,89,0,JANUARI
199,SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,39,14,3,2,15,3,0,2,0,39,0,JANUARI
200,SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,247,161,39,2,23,3,5,13,0,246,1,JANUARI
201,SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,100,55,21,10,4,2,0,8,0,100,0,JANUARI
202,SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,94,45,22,3,15,4,0,5,0,94,0,JANUARI
203,SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,91,25,33,0,26,4,0,3,0,91,0,JANUARI
204,SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,76,29,5,3,28,0,1,7,0,73,3,JANUARI
205,SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,122,40,29,2,21,5,1,23,1,122,0,JANUARI
206,SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,91,35,9,7,27,2,3,8,0,91,0,JANUARI
207,SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,103,33,19,2,37,7,0,5,0,103,0,JANUARI
208,SULAWESI BARAT,MAJENE,SENDANA,MOSSO,344,163,102,13,38,18,3,6,0,343,1,JANUARI
209,SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,76,22,18,4,6,10,3,4,0,67,9,JANUARI
210,SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,102,29,38,3,15,6,1,8,0,100,2,JANUARI
